,title,company,location,time,link,source
0,Staff Engineer - Machine Learning,Twilio,"Bengaluru, Karnataka, KT",7.0,https://job-openings.monster.com/staff-engineer-machine-learning-bengaluru-karnataka-kt-us-twilio/951a577d-8de3-42c1-b221-c2953439a046,Monster
1,Senior Training Program Manager,Cyient,"Hyderabad, AP",30.0,https://job-openings.monster.com/senior-training-program-manager-hyderabad-ap-us-cyient/7b1e7f8f-4f1b-4215-b00f-5de4f76ccb38,Monster
2,Senior Data & Insights Analyst,MoneyGram,"Mumbai, Maharashtra",10.0,https://www.indeed.co.in//cmp/Moneygram,Indeed
3,"Trainee, Data Analytics
new","KMK Consulting, Inc.","Vadodara, Gujarat",6.0,https://www.indeed.co.in//rc/clk?jk=370ecc646ea4c5e2&fccid=02b623da321b1c54&vjs=3,Indeed
4,Sr.Data Scientist,Lumiq,"Noida, Uttar Pradesh",30.0,https://www.indeed.co.in//rc/clk?jk=d88bf4457d6b7813&fccid=f0e99e7fd573cd67&vjs=3,Indeed
5,Reporting/Analytics,Deutsche Bank,"Pune, Maharashtra",16.0,https://www.indeed.co.in//rc/clk?jk=447dbfa94cb2d3d8&fccid=f1d8e147024abb3f&vjs=3,Indeed
6,"Machine Learning, Deep Learning and Artificial Intelligence",Nubeslab,"Kochi, Kerala",30.0,https://www.indeed.co.in//rc/clk?jk=b88291d2aca68983&fccid=01c5062ea1d6d5cc&vjs=3,Indeed
7,"Digital Marketing Analytics-Data Analytics and Interpretatio...
new",Accenture,"Mumbai, Maharashtra",2.0,https://www.indeed.co.in//rc/clk?jk=c93fd799d9dfa181&fccid=a4e4e2eaf26690c9&vjs=3,Indeed
8,Data Scientist,AppZen,"Pune, Maharashtra",30.0,https://www.indeed.co.in//rc/clk?jk=92a413fe9db346f2&fccid=232d2677a5ec1087&vjs=3,Indeed
9,Modeling + Implementation role (Data Scientist),Seventh Edge,"Bengaluru, Karnataka",29.0,https://www.indeed.co.in//company/Seventh-Edge/jobs/Modeling-Implementation-Role-c3c955f1b62977bd?fccid=7e098f70349e8a8e&vjs=3,Indeed
10,"Senior Scientist I, Compendial Development Laboratory(Foods)
new",US Pharmacopeia,"Hyderabad, Telangana",3.0,https://www.indeed.co.in//rc/clk?jk=93ce213140c622d4&fccid=8a5adb7047f34c52&vjs=3,Indeed
11,Senior Data Scientist,Aera Technology,"Pune, Maharashtra",30.0,https://www.indeed.co.in//rc/clk?jk=911ddafe47d2582c&fccid=5fdf424b89e5fd4b&vjs=3,Indeed
12,"SAP HANA Analytics-Lead
new",Wipro Limited,"Bengaluru, Karnataka",,https://www.indeed.co.in//rc/clk?jk=22c99987241b6bf9&fccid=8d25321c1defe73f&vjs=3,Indeed
13,Data Analyst,EW Technologies,"Kochi, Kerala",30.0,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0C7dLlNRyAZ8eRgVQFtZGroLG2vh1M05qEfA0v1DRJsqo6e7v-qbnFHJWWkG98dqT_C0kCA1lv1yVMS0MzJOOaWMBuxfFkdtHMBwrKqwwZMck-35DoUF1O_lDyeZpmHTG9-pTYFfsXGz-LX6O2oUcAXjMfFq4ieJoAvnLTlYPX6ngUp0H4rE4fmTvAJKq9sAfY9sRFKVAu_3VPqk7NhnmJtIC7J3OrbLuBRAEGXZO473unytzsGsv7W_fqzsP3RiSer-aOvETvafHn3w0Nvk_ZDDQ2BS6HzNdYHrbau3Jiy4i6PtKUW5M4POeqW2uSExbOpQNwaML0iZF0SQpNXkm4X7I2Yzox0ymSxb33Uj2L3ll0M3BGyHM9P9VxU2JrkOIQYkQVZ63A4irT6hMTLspWTVr49p2748Q2q6GJa5tSOmw==&p=11&fvj=1&vjs=3,Indeed
