,title,company,location,time,link,source
0,Sr Business Systems Analyst,SPECTRUM,New Delhi,9,https://job-openings.monster.com/sr-business-systems-analyst-new-delhi-us-spectrum/ed739825-2af9-4e1e-a991-31605078b004,Monster
1,Info Security Engineer 4,WELLS FARGO BANK,"Bengaluru, Karnataka",23,https://www.indeed.co.in//rc/clk?jk=91699282cf49dec0&fccid=78bbcd26e39621f5&vjs=3,Indeed
2,Security Operations Engineer II,Duck Creek Technologies,"Mumbai, Maharashtra",30,https://www.indeed.co.in//rc/clk?jk=53db4fb0bcc5f2cb&fccid=cd44cc1babd364c4&vjs=3,Indeed
3,Senior Security Architect (Infrastructure and OT),Unilever,"Bengaluru, Karnataka",30,https://www.indeed.co.in//rc/clk?jk=8cd2d48fb999cf96&fccid=37e886222e0cbb3a&vjs=3,Indeed
4,"Solution Architect ( Cyber Security)/ Practice Head
new",Laksh Human Resource India Private Limited,"Hyderabad, Telangana",1,https://www.indeed.co.in//rc/clk?jk=2039d104392799a0&fccid=6865a8f52e1f1fc3&vjs=3,Indeed
5,Global News Desk Correspondent,ISMG - Information Security Media Group,"Mumbai, Maharashtra",16,https://www.indeed.co.in//rc/clk?jk=a1de5dc9bf09ca80&fccid=0b45851c6e5f259a&vjs=3,Indeed
6,System Administrator,Cyber X PERT Z,"Hyderabad, Telangana",13,https://www.indeed.co.in//company/Cyber-X-PERT-Z/jobs/System-Administrator-2a0325a03a169db5?fccid=2f5dd3c38caf538a&vjs=3,Indeed
7,Graduate Trainee,IG Group,"Bengaluru, Karnataka",30,https://www.indeed.co.in//rc/clk?jk=c4add4dae1b2bc4a&fccid=3c69597bec11de97&vjs=3,Indeed
8,Customer Success Manager,"FireEye, Inc.","Bengaluru, Karnataka",24,https://www.indeed.co.in//rc/clk?jk=46283773f8d5e8fc&fccid=5ed3d6e8b04e853e&vjs=3,Indeed
9,IT Security Analyst,Quick connect consulting pvt ltd,"Bengaluru, Karnataka",9,https://www.indeed.co.in//company/Quick-connect-consulting-pvt-ltd/jobs/IT-Security-Analyst-503e7df58260aa93?fccid=b6bef4df0a1a89db&vjs=3,Indeed
10,TECH LEAD - CYBER SECURITY,Valeo,"Chennai, Tamil Nadu",30,https://www.indeed.co.in//rc/clk?jk=4f5022bc7e29f36f&fccid=ffac1b3685b3c240&vjs=3,Indeed
11,"Sr Manager, Security Architecture & Engineering
new",DELL,"Bengaluru, Karnataka",1,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0BdeCH3wzlYpD364Be5JbcCJKJ8S-TlvC_iwEgvLx09tb8fXknpF2WQu-R-ehHwtbnXQyuAi1Y7lc9k6Vk-Zdy-Zxy6uQ-oCtj3UasqcUA86zvzPeUnYYXDrFsp-LQv_m-_BhfBDqMeOVcV3HT7kZfmSK83jqB4aPbRIiGmNsSjXErvhWu47cuRV4yFvML14mfw0DFKBa6J7g4fpC7ulGxWluG4EfSprJyHj6yAqNO_UFtWadCHYE2GZtpylP4KBwbxitmcuxT_KQG8QJD3HUP8WoIc5uK_qaCRKJgamlcifzWcWABi5SkFYiZTt7nsidMmLDtLSQzUYcZ1mhSyoDemDAP4hxsjR2UKCUS9LAJc9JMRIt5B_yzxyDmdFaAhKH4zUgoRWUirvV_oarrG0Kdj1l_bweDyWhOudPamX9q1IGA3wcURKuuIT_7Gn0vjOzofJ7aHnbZX1dVXQeLd0aUEejYfDEZLZR79bBX4T1YNRyaXgkaYYwM6sUTPx9qKeRSIrCi8bAKYHMniII_nwHoFfA_4HnmMgxWRWHRWyxYW_ZZJHGlpYcikeeaW2e_JxKszqZAlBgLe66bzNGtgWB1P7-MEga0kPFLMiHqOTAzyk12XuWAXgKb2AQ1BbhoJ9-6OkWvWjf3pqpIUDxcnzPPbeuaGsid06zFK0jYXmX4k30jbwt-GpYeDppya0nzF2jDI6L8duV73oicpkLreORQ5fvs1i0lmWtQuZlAwLT9oRVocSGGL3XNfdentA7hz4q9iJQo31aDFqYN2mM9eMX6LbJLlm4mKLoWrepKadFWTsBthqGPYJGcknkfcqanoof8mSeYqanW6PPFrBRItGoeJMFr5FcIFOosfVFO2QeVthlfnbImTsuFhELEJkq_QBBPF8kDU6gb8y4pVK7rdjyrwpnasy7dJAFsG2_FtadwkmZ0h6u5KedaXShg76x9AL3oz4Vm-bBdKy5Zv4aubyHHM5EqBZw-Rgt17mqZBFNCqwqNo_UfOFefN&p=10&fvj=0&vjs=3,Indeed
12,Technical Specialist- SIEM(QRADAR),Applied Materials Inc.,"Bengaluru, Karnataka",8,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0BKwMOZH4fgpIIWSrlpgS0tSkW3tfilVH9rzQFVfnBGL0LF-9vo0acj_8Lu0aVcpXEgGVFR5698fNRcRDPcK4lkMxtRQcPtNpgD8T-F9W6WBDl3S4abS1Tf_z5NwDFY8gJGRVxBXn0ePxorVFCUpp3PJQ-Cbyj1Rb9mbtRTY2wEodP_4a28AB1F6rnIGSMNCGKfVLn3j1M4NXsJhFm4XhWgFZh04zZMI8RHd-ljVZmKcHYSmMcEH76VAGqvX4nIndLtPZcIMkbh4WR-dKiRvD56TFf7KrccviH4c5TSu61ENM5xgCTKPXo3KwFQ3ElJ-GC7WDwL23x_WCC9e5BYIaOwr_47m5UMNELXjY90Fv6Ad8zkDktT6N4BUcBVHP62HbN6R0966QN6e5ePpEp_LVfMUjTmml1BytBojbesiKUyvlMyNttBjP9VN7IyOSbHsnoat7RI7Odbzuw4K6X9kHIIw4dgb8nlTaVEssp1t8HMgt_MHtHlFaNDZmfK8PPr3RA=&p=11&fvj=0&vjs=3,Indeed
13,Senior Security Engineer,DELL,"Bengaluru, Karnataka",30,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0BdeCH3wzlYpD364Be5JbcCJKJ8S-TlvC_iwEgvLx09tUWj613drhJzztLF9k6Skca6zIgnUx6yd6QOdIHpOlkGPMIJxbD5ZbtX88o8Q90Rpat2El1UoxThcSRQ5Y0cNTEW4co0E7QpcmvUO20m-wpAA94OLu-g3eo50Wh-71xgmcX-R2csLrY0BbRKXMBJin7NIFeN29dT25TFCsj3durZxg5slJhc48Jpj7fZ9o1w7oOpBHTlP_1oTuG2OlRes04Tp0ht1Mb1qXj87OjXtCFeM4fyrfaSZOYghp0fd7BFhaHVHGaovCflDItI8Jgxo1GJmGDSN_v8Mer5vMdg5e-STXqk5SgJGijdFCylmZOJ6qlCYbZg8I7bOIDFxGq8ssZjxew2H4U9uTzra05-xBk5Cf392N3Jui1dL7sYhmNOT2XfU_JwSFgceYqehUZbc-fOa-TSgtjRhEMWgcNLXXO-xP6uCWf8vKVkCL0MCI9GVbZTPgGEbnAAWMV0B1eapRN-omLY8Wc_c0sqmm-GfPdteU2jHn60mhr-ZAujo0_XaAIN8RUzY-ZBlIyCUiVxL6MTriAtQ5gPgD1btIa4AmAHrMCl7cyFm2BRB6-XUSZFekhqo1oQxm8I94GQ2Y4zc90E8dSShmD0CJqJmeKL9VpdG9v9aR5mytMiJoqhXPh4YEQbGfvis44QTG5WgmEQEbHPmc2nCptyd3cxToYBkoYhnUSIUpinGHFeqBQvkmMwRVdGbJamuWahZL5qBEvjbFZZ5AhKkeUKwls3KjvJez-3MIzIJuNSErBqsrEnQ5HOHBibHR1ybIgQ2yikuEkNapNGLDAomcgAm1jGHSiMWATZjldrqf04SrDN-uesXUyog3RMqfetmLUigQtHl_4DtwbFVyHbLh9Ra-h_BW4z7alJCWQbdeEBYTAoGPqH8iKEazYKpODVPmwoZycwEWJbr5ZhnDO3YaTYH7VRO_pj7Yibbfc34IWcOZPglpgiVkqrtfyoOCzsaU6d_ORIf-wkf4E=&p=12&fvj=0&vjs=3,Indeed
14,Cyber Security Services Manager,Hexion Inc.,"Bengaluru, Karnataka",30,https://www.indeed.co.in//cmp/Hexion-Inc.,Indeed
15,Security Consultant - IDAM,Infosys,"Bengaluru, Karnataka",30,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0DFi1nmQQWK2fa3N4W3y7EUOEocZkWPqKP_f_xZ7ne8RUTCgxjAcFcNO0xqLvH83iiKhfhdUU0EJ9IjQfgMVNvO3a0wP9OBSVC269pBHI-iFrto66-DgQCk-x72JSidyMR80BRwKi_6uq_ohDUbIwxqhc04hFB3GXpP9nI2woL4qiYP1QbmmBs_vIx0O1Y2d0U3P8yOCRmsjKQK_yM4rEA7TiKgx3idbxxCEIpiQJQ6F-HbVXf8c-LQsIvcfvW76bkuE1qMgPiFuTuiPdp6CTMZwfYxXIEL3d6zTOdNY2Mz9SqiZVL4VZL8Yv-g71oHkCTzr1JwmEM1AQAufCQBs_PyMeN6N12WtQqhTvklkYJByO8eqdCtuzB4Ov8ckjS-q2X63kry6ah1-Qy6hcMmVCOVGeV-ANu1UXr5ZXeHFiR3SwuRr8g-KtoOV16rTwsVr5Yk3enIvWg8EyKTX39D7_nAs8O4C34KVBQ5zvoxarxzzVnhOVxPJf4-_BGanRnCf14UGUp9ERiIHzQXSWKchkGve2b4QvFJ5Uh6NIWrvTAxdszRdZKzpPLeL3U93b4nVAT9cTzvC57NvfVna1WZGJbQRwZlSE00NwdrOSVgK787eynQkpxhLY1KRFm71Puh9e_DfeUOwYtH8E16tTs_Uyzo&p=14&fvj=1&vjs=3,Indeed
16,Security Consultant - IDAM,Infosys,"Bengaluru, Karnataka",30,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0DFi1nmQQWK2fa3N4W3y7EUOEocZkWPqKP_f_xZ7ne8RUTCgxjAcFcNO0xqLvH83iiKhfhdUU0EJ9IjQfgMVNvO3a0wP9OBSVC269pBHI-iFrto66-DgQCk-x72JSidyMR80BRwKi_6uq_ohDUbIwxqhc04hFB3GXpP9nI2woL4qiYP1QbmmBs_t0lr5XQ2WBHrbWJ7k8ANmRhMUAf6gARPdDEQJTNK1akl9GVVI7UvWK-TdrlnSmeaMZgn4nwNOxSzyp-I9xqzo-WDk98kvo2n8xk5Z6EYnwUPXXdqYgzcGjgHjzZdcdExk9_r9MBKVeWG7ThT4s4Oatnh2aANtvXfebrcVud2IvjEJ0vfEPAsxXMHb_ZkS12aBrnFmmiBrXBQnxMkbHzrDlZjOfLwhfrgcNRGIaP6oHqhmhSUfYjVr9sruqx9Fkv7fUtYrQz8_ijkMM-HlSnCJ1s9Ike4iJl9c9k6bWaAOgw7dScU1fjicvtxm9DtAz7M0oqlshSrdp-JMrOvzQmRQBzqjR9InqDAxZLzqwqJLG37mXjnxb0XYtAf-1sdZl8TBBUxYgkUlyolO8Hii495ptlZhtWP6SihAke4nW1a3foa0Oy0Fn8qfawQuQoAE3WJ-SekJHpAQ6gEjtsF_pDU8hxJ0qnrGrjm&p=0&fvj=1&vjs=3,Indeed
17,Java Engineering Manager,SecureW2,"Chennai, Tamil Nadu",30,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0AJXfSa2c8QqwkElMq8AHXwXMGz5CpZSOXDrmWlbMxoADgDbCERm07W_92DXgfDyH-pT392HfmcJdOCFU9LTnui-cyjfoU1DT3f0u4P6BCCPgHjmLwfyyRHvnWG9ihVfjTmzGCP84BGqYcXFEN9TjIJ3Hi1U2Ii03rZTAJlkRH6YLgvOO6WTNIXLMAQX82yRAi8Tpoi_fDU6S6QT2Db3Sn0YFXqOQTMEshFXSX79YFPOqBDvPsu3nFVwM7HCMQuyXl_vTgqROpIWvABkBQthJ1a9XvbGx8xyGCQ-tMGW_pKMqVRIylU_XufH7o6O2a8dVEgpNckqlHl1OZCO1BbBFJ698G--v2Wz-d0-ER8pu4Yc-7e23EgQKt-QrMO0WnVn3pwirUYWKRy3ySJ-kRgGz3ysKQT3vVWC2AD8YQW6nwKVeKm49siOSHOfevDXdC8ptXK5RgRQKqgiA==&p=1&fvj=1&vjs=3,Indeed
18,Cyber Security Services Manager,Hexion Inc.,"Bengaluru, Karnataka",30,https://www.indeed.co.in//cmp/Hexion-Inc.,Indeed
